i	113.0,106.0,0.009749784296807593,0.007866419294990724
iain	1.0,0,8.628127696289905e-05,0.0
ica	0,1.0,0.0,7.421150278293135e-05
iccenergy	1.0,0,8.628127696289905e-05,0.0
icet	0,1.0,0.0,7.421150278293135e-05
icon	0,1.0,0.0,7.421150278293135e-05
id	10.0,3.0,0.0008628127696289905,0.00022263450834879406
idea	1.0,3.0,8.628127696289905e-05,0.00022263450834879406
ideas	3.0,3.0,0.0002588438308886972,0.00022263450834879406
identified	0,1.0,0.0,7.421150278293135e-05
identifies	0,1.0,0.0,7.421150278293135e-05
identify	2.0,0,0.0001725625539257981,0.0
idiot	0,1.0,0.0,7.421150278293135e-05
idirect	0,1.0,0.0,7.421150278293135e-05
ids	1.0,0,8.628127696289905e-05,0.0
ien	0,1.0,0.0,7.421150278293135e-05
if	32.0,55.0,0.0027610008628127696,0.004081632653061225
igh	0,1.0,0.0,7.421150278293135e-05
ihf	0,1.0,0.0,7.421150278293135e-05
ii	3.0,0,0.0002588438308886972,0.0
illness	0,1.0,0.0,7.421150278293135e-05
illustrate	0,2.0,0.0,0.0001484230055658627
illustration	0,1.0,0.0,7.421150278293135e-05
illustrator	0,2.0,0.0,0.0001484230055658627
ilydiatt	1.0,0,8.628127696289905e-05,0.0
image	0,9.0,0.0,0.0006679035250463822
imagine	0,1.0,0.0,7.421150278293135e-05
imitate	0,1.0,0.0,7.421150278293135e-05
immediate	0,2.0,0.0,0.0001484230055658627
immediately	3.0,16.0,0.0002588438308886972,0.0011873840445269016
impact	3.0,0,0.0002588438308886972,0.0
impacted	1.0,0,8.628127696289905e-05,0.0
imperial	2.0,0,0.0001725625539257981,0.0
implement	1.0,0,8.628127696289905e-05,0.0
implementation	9.0,0,0.0007765314926660914,0.0
implementing	1.0,0,8.628127696289905e-05,0.0
important	4.0,5.0,0.0003451251078515962,0.00037105751391465676
importantly	1.0,0,8.628127696289905e-05,0.0
impossible	0,1.0,0.0,7.421150278293135e-05
impresses	0,1.0,0.0,7.421150278293135e-05
impression	0,1.0,0.0,7.421150278293135e-05
impressive	0,1.0,0.0,7.421150278293135e-05
improve	0,1.0,0.0,7.421150278293135e-05
improved	2.0,3.0,0.0001725625539257981,0.00022263450834879406
improving	0,1.0,0.0,7.421150278293135e-05
impulse	0,1.0,0.0,7.421150278293135e-05
in	160.0,157.0,0.013805004314063849,0.011651205936920223
iname	0,1.0,0.0,7.421150278293135e-05
inappropriate	0,1.0,0.0,7.421150278293135e-05
inbox	0,1.0,0.0,7.421150278293135e-05
inc	9.0,1.0,0.0007765314926660914,7.421150278293135e-05
incessantly	0,1.0,0.0,7.421150278293135e-05
include	3.0,9.0,0.0002588438308886972,0.0006679035250463822
included	1.0,5.0,8.628127696289905e-05,0.00037105751391465676
including	12.0,3.0,0.0010353753235547887,0.00022263450834879406
inclusive	0,1.0,0.0,7.421150278293135e-05
income	0,2.0,0.0,0.0001484230055658627
incomeunlimited	0,1.0,0.0,7.421150278293135e-05
incorporated	1.0,0,8.628127696289905e-05,0.0
incorrectly	1.0,0,8.628127696289905e-05,0.0
increase	3.0,4.0,0.0002588438308886972,0.0002968460111317254
increased	0,5.0,0.0,0.00037105751391465676
increases	2.0,0,0.0001725625539257981,0.0
increasing	2.0,0,0.0001725625539257981,0.0
