ClassPriors	47.0,33.0,0.5875,0.4125	ham	0.5875	
ClassPriors	47.0,33.0,0.5875,0.4125	ham	0.5875	
ClassPriors	47.0,33.0,0.5875,0.4125	ham	0.5875	
the	453.0,535.0,0.028116678020684956,0.029724933451641525	spam	0.029724933451641525	
ect	378.0,0,0.023471852356474886,5.5456965394853596e-05	ham	0.023471852356474886	
to	350.0,420.0,0.021737784108503126,0.02334738243123336	spam	0.02334738243123336	
and	258.0,277.0,0.016040131293738775,0.0154170363797693	ham	0.016040131293738775	
a	168.0,274.0,0.010466340496686691,0.015250665483584738	spam	0.015250665483584738	
your	35.0,271.0,0.0022295163188208334,0.015084294587400177	spam	0.015084294587400177	
you	80.0,252.0,0.005016411717346876,0.01403061224489796	spam	0.01403061224489796	
of	188.0,252.0,0.011704960673809377,0.01403061224489796	spam	0.01403061224489796	
hou	203.0,0,0.01263392580665139,5.5456965394853596e-05	ham	0.01263392580665139	
in	160.0,157.0,0.009970892425837617,0.008762200532386868	ham	0.009970892425837617	
for	148.0,153.0,0.009227720319564005,0.008540372670807454	ham	0.009227720319564005	
on	122.0,95.0,0.007617514089304515,0.005323868677905945	ham	0.007617514089304515	
enron	116.0,0,0.007245928036167709,5.5456965394853596e-05	ham	0.007245928036167709	
will	113.0,69.0,0.007060135009599306,0.0038819875776397515	ham	0.007060135009599306	
i	113.0,106.0,0.007060135009599306,0.005933895297249334	ham	0.007060135009599306	
it	30.0,119.0,0.0019198612745401622,0.006654835847382431	spam	0.006654835847382431	
this	99.0,90.0,0.006193100885613426,0.005046583850931677	ham	0.006193100885613426	
com	74.0,108.0,0.00464482566421007,0.006044809228039042	spam	0.006044809228039042	
be	90.0,84.0,0.005635721805908218,0.004713842058562555	ham	0.005635721805908218	
that	71.0,100.0,0.004459032637641667,0.005601153504880213	spam	0.005601153504880213	
is	86.0,86.0,0.0053879977704836815,0.0048247559893522625	ham	0.0053879977704836815	
or	41.0,88.0,0.0026011023719576393,0.00493566992014197	spam	0.00493566992014197	
are	55.0,84.0,0.003468136495943519,0.004713842058562555	spam	0.004713842058562555	
with	72.0,76.0,0.004520963646497802,0.004270186335403727	ham	0.004520963646497802	
have	61.0,75.0,0.0038397225490803245,0.004214729370008873	spam	0.004214729370008873	
we	66.0,67.0,0.004149377593360996,0.0037710736468500442	ham	0.004149377593360996	
at	57.0,66.0,0.0035919985136557875,0.0037156166814551906	spam	0.0037156166814551906	
