5.812143881706691495e+00,-1.753779886373799113e-02,-1.238302452242470014e-02,-4.187419834327753276e-02,1.402044409778056312e-02,-7.576199302151598487e-03,-3.183589428922633385e-02,9.403774466181409608e-03,-9.021865619401214786e-03,-5.242027102884027484e-02,4.497886651113302582e-03,1.054054387774525960e-02,7.860562229156879688e-02
5.812894109003506671e+00,-1.880447571182528727e-02,-1.213698405697105978e-02,-6.676425762897628124e-02,2.372337923082522976e-02,-5.465887175615807489e-03,-4.523093439864806636e-02,1.534161551325299508e-02,-2.061463182723416443e-02,-7.600009070108701414e-02,9.095188731683859912e-03,2.755237996548904472e-02,1.305131242341211750e-01
5.813464219236825770e+00,-1.563305268139229126e-02,-8.674264060526199610e-03,-8.451184496624941644e-02,3.032687209700481168e-02,2.458831730841992691e-03,-5.149676595601593299e-02,2.156542750324068336e-02,-3.021669872939336185e-02,-8.643596913875406518e-02,1.267572293046580201e-02,4.383613969803622917e-02,1.670637358066442146e-01
5.813918489268621315e+00,-1.127190869287714517e-02,-4.852816023866501904e-03,-9.834505485846942174e-02,3.437118271545683279e-02,1.298328533493935989e-02,-5.459667458925626660e-02,2.807889103639177666e-02,-3.788495975585193243e-02,-9.070671844223116009e-02,1.550460781331658780e-02,5.777927155227209621e-02,1.943289465296047513e-01
5.814286683596358252e+00,-6.703597245106923848e-03,-1.489855077636745122e-03,-1.096290243355125815e-01,3.638507187693571648e-02,2.424665293699628660e-02,-5.611369247219166745e-02,3.448267033617889721e-02,-4.420871740706112246e-02,-9.207931893450918559e-02,1.784305602399974267e-02,6.926473942801392170e-02,2.156204899638738404e-01
5.814586157480547080e+00,-2.256140013193258347e-03,1.264540006688400463e-03,-1.190964051943576574e-01,3.687980146428128381e-02,3.530007879072043220e-02,-5.675473491661593012e-02,4.051630197804644007e-02,-4.962666139764744522e-02,-9.212792078724124645e-02,1.982359927301088898e-02,7.856655642503335146e-02,2.328132911121612025e-01
5.814829072324168457e+00,1.956133992366188880e-03,3.471049805427583058e-03,-1.272050473506867729e-01,3.629552643331000750e-02,4.570373066169062387e-02,-5.686612413947746830e-02,4.606494082928422329e-02,-5.440335987036876153e-02,-9.162145282767637788e-02,2.150519495189133143e-02,8.603249434137327789e-02,2.470242184562526921e-01
5.815024965775632104e+00,5.898221593694507985e-03,5.241229114379713193e-03,-1.342645302548586828e-01,3.498171987369655400e-02,5.528335269124495799e-02,-5.663276841365743469e-02,5.110123186198028272e-02,-5.869189445819500417e-02,-9.093588833221281920e-02,2.291893572027779713e-02,9.199011652361820113e-02,2.589591473673731326e-01
5.815181741297942963e+00,9.567562383046781735e-03,6.682558532878155565e-03,-1.404929768167414161e-01,3.320185041864725378e-02,6.399847935514807462e-02,-5.616260165630267837e-02,5.564206896688578957e-02,-6.258276375174727513e-02,-9.025224790687019771e-02,2.408957583974587549e-02,9.672173079960072473e-02,2.690922555205454980e-01
5.815306088002508922e+00,1.297537538169910715e-02,7.882585134984730971e-03,-1.460480878224118262e-01,3.114774975268613105e-02,7.187376667040895617e-02,-5.552465847858128328e-02,5.972384963808828606e-02,-6.613267985590938480e-02,-8.965377490590044351e-02,2.504271165457437956e-02,1.004619465900763453e-01,2.777605782908165732e-01
